TimeStamp,Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
1.409977,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.412119,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.413675,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.415358,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.416916,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.418577,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.420307,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.422228,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.42399,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.425728,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.427532,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.429098,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.430937,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.432344,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.43383,0.1201172,0.8461913,-0.5109863,2.518177,26.9208,-13.78965
1.435453,0.1464843,0.876953,-0.5207519,-1.188755,25.51699,-11.11937
1.437014,0.1503906,0.8559569,-0.5646972,2.808094,25.63906,-5.321026
1.438488,0.1503906,0.8559569,-0.5646972,2.808094,25.63906,-5.321026
1.439903,0.1503906,0.8559569,-0.5646972,2.808094,25.63906,-5.321026
1.441366,0.1503906,0.8559569,-0.5646972,2.808094,25.63906,-5.321026
1.443142,0.1503906,0.8559569,-0.5646972,2.808094,25.63906,-5.321026
1.448139,0.1503906,0.8559569,-0.5646972,2.808094,25.63906,-5.321026
1.452181,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.453829,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.455263,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.456741,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.458181,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.459677,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.461256,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.463123,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.464926,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.466543,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.468203,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.469643,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.471115,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.472496,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.474159,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.475878,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.477633,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.479229,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.480648,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
1.482203,0.1137695,0.833496,-0.5534667,9.506702,26.00527,-6.831646
